artist_key,artist_name,platform,canonical_url,evidence_sources,evidence_url,confidence,status,discovery_date,verification_date
"nivel c","Nivel C","facebook","https://www.facebook.com/GrupoNivelC","verified_musicbrainz_mapping+live_musicbrainz_url_relationship","","90","verified","2026-08-16","2026-08-16"
"nivel c","Nivel C","instagram","https://www.instagram.com/nivelc_official","verified_musicbrainz_mapping+live_musicbrainz_url_relationship","","90","verified","2026-08-16","2026-08-16"
"noel torres","Noel Torres","facebook","https://www.facebook.com/NoelTorresMusica","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCXZcqNgRoEeTbUOZ11pUFrA/about","95","verified","2026-08-16","2026-08-16"
"noel torres","Noel Torres","instagram","https://www.instagram.com/noeltorres","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCXZcqNgRoEeTbUOZ11pUFrA/about","95","verified","2026-08-16","2026-08-16"
"noel torres","Noel Torres","tiktok","https://www.tiktok.com/@elnoeltorres","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCXZcqNgRoEeTbUOZ11pUFrA/about","95","verified","2026-08-16","2026-08-16"
"novillos de la sierra","Novillos de la Sierra","facebook","https://www.facebook.com/novillos.sierra","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCYeyCMqw205i8MACEz-C11Q/about","95","verified","2026-08-16","2026-08-16"
"novillos de la sierra","Novillos de la Sierra","instagram","https://www.instagram.com/novillossierra","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCYeyCMqw205i8MACEz-C11Q/about","95","verified","2026-08-16","2026-08-16"
"novillos de la sierra","Novillos de la Sierra","tiktok","https://www.tiktok.com/@novillosdelasierra","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCYeyCMqw205i8MACEz-C11Q/about","95","verified","2026-08-16","2026-08-16"
"nsqk","Nsqk","instagram","https://www.instagram.com/nsqkk","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCcVv6qbIlgQuCbuz9p8DmlA/about","95","verified","2026-08-16","2026-08-16"
"nsqk","Nsqk","tiktok","https://www.tiktok.com/@nsqk.wav","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCcVv6qbIlgQuCbuz9p8DmlA/about","95","verified","2026-08-16","2026-08-16"
"nsqk","Nsqk","twitter","https://twitter.com/nsqkk","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCcVv6qbIlgQuCbuz9p8DmlA/about","95","verified","2026-08-16","2026-08-16"
"nueva h","Nueva H","instagram","https://www.instagram.com/nuevah_oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCCWoWI1gJyaWqiIv8ysbLcw/about","95","verified","2026-08-16","2026-08-16"
"nueva h","Nueva H","tiktok","https://www.tiktok.com/@nuevah_oficialct","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCCWoWI1gJyaWqiIv8ysbLcw/about","95","verified","2026-08-16","2026-08-16"
"octavio cuadras","Octavio Cuadras","instagram","https://www.instagram.com/octavio_cuadrasc","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCy329A7bLCFk92sEZJTmAwA/about","95","verified","2026-08-16","2026-08-16"
"octavio cuadras","Octavio Cuadras","tiktok","https://www.tiktok.com/@octaviocuadras","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCy329A7bLCFk92sEZJTmAwA/about","95","verified","2026-08-16","2026-08-16"
"officialalex425","Officialalex425","instagram","https://www.instagram.com/officialalex425","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCikR8Hfxjd44Sk9JR_nNLxA/about","95","verified","2026-08-16","2026-08-16"
"oscar maydon","Oscar Maydon","instagram","https://instagram.com/oscar_maydonn","official_linktree_manual_review","https://linktr.ee/Oscarmaydon","95","verified","2026-08-16",""
"oscar maydon","Oscar Maydon","tiktok","https://tiktok.com/@oscar_maydonnn","official_linktree_manual_review","https://linktr.ee/Oscarmaydon","95","verified","2026-08-16",""
"oscar ortiz","Oscar Ortiz","facebook","https://www.facebook.com/OscarOrtizNet","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCFkcSI4qGcGRWEVJ7l3Y_2w/about","95","verified","2026-08-16","2026-08-16"
"oscar ortiz","Oscar Ortiz","instagram","https://www.instagram.com/oscarortizoficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCFkcSI4qGcGRWEVJ7l3Y_2w/about","95","verified","2026-08-16","2026-08-16"
"oscar ortiz","Oscar Ortiz","tiktok","https://www.tiktok.com/@oscarortiz1.0","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCFkcSI4qGcGRWEVJ7l3Y_2w/about","95","verified","2026-08-16","2026-08-16"
"panchito arredondo","Panchito Arredondo","facebook","http://www.facebook.com/PANCHITOARREDONDO","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC4ixWvfi5AvnPJWRY10Nfgg/about","95","verified","2026-08-16","2026-08-16"
"panchito arredondo","Panchito Arredondo","instagram","https://www.instagram.com/panchito_arredondo","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC4ixWvfi5AvnPJWRY10Nfgg/about","95","verified","2026-08-16","2026-08-16"
"pancho barraza","Pancho Barraza","facebook","https://www.facebook.com/pbarrazaoficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC182E6DfqeGhPcyo-6N8xig/about","95","verified","2026-08-16","2026-08-16"
"pancho barraza","Pancho Barraza","instagram","https://www.instagram.com/panchobarrazaoficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC182E6DfqeGhPcyo-6N8xig/about","95","verified","2026-08-16","2026-08-16"
"pancho barraza","Pancho Barraza","tiktok","https://www.tiktok.com/@panchobarrazamusic","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC182E6DfqeGhPcyo-6N8xig/about","95","verified","2026-08-16","2026-08-16"
"pancho barraza","Pancho Barraza","twitter","https://twitter.com/panchobarraza20","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC182E6DfqeGhPcyo-6N8xig/about","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","facebook","https://www.facebook.com/panteonrococo","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q377900","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","facebook","http://facebook.com/panteonrococo","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmKU35Q-dkCoeyEpbDubJ8g/about","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","instagram","https://www.instagram.com/rococopix","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping+verified_youtube_channel+channel_about_external_link","http://www.wikidata.org/entity/Q377900 | https://www.youtube.com/channel/UCmKU35Q-dkCoeyEpbDubJ8g/about","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","tiktok","https://www.tiktok.com/@panteonrococotiktok","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmKU35Q-dkCoeyEpbDubJ8g/about","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","twitter","https://x.com/RococoTweets","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping+verified_youtube_identity_mapping","http://www.wikidata.org/entity/Q377900","95","verified","2026-08-16","2026-08-16"
"panteon rococo","Panteon Rococo","twitter","http://twitter.com/rococotweets","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCmKU35Q-dkCoeyEpbDubJ8g/about","95","verified","2026-08-16","2026-08-16"
"panter belico","Panter Bélico","instagram","https://www.instagram.com/panterbelico","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UC87l_mXHj5XxoTT0ELR8B2Q/about","95","verified","2026-08-16","2026-08-16"
"paquita la del barrio","Paquita La Del Barrio","twitter","https://x.com/paquitaboficial","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping","http://www.wikidata.org/entity/Q3043199","95","verified","2026-08-16","2026-08-16"
"patrulla 81","Patrulla 81","facebook","https://www.facebook.com/patrulla81oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCk-9jV8MBYg_o6fSJk71EmA/about","95","verified","2026-08-16","2026-08-16"
"patrulla 81","Patrulla 81","instagram","https://www.instagram.com/patrulla81oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCk-9jV8MBYg_o6fSJk71EmA/about","95","verified","2026-08-16","2026-08-16"
"patrulla 81","Patrulla 81","tiktok","https://www.tiktok.com/@patrulla81oficial","verified_youtube_channel+channel_about_external_link","https://www.youtube.com/channel/UCk-9jV8MBYg_o6fSJk71EmA/about","95","verified","2026-08-16","2026-08-16"
"paty cantu","Paty Cantu","facebook","https://www.facebook.com/soypatycantu","verified_musicbrainz_mapping+wikidata_social_identifier+verified_spotify_mapping","http://www.wikidata.org/entity/Q3136608","95","verified","2026-08-16","2026-08-16"
